"id_tps"	"name"	"sex"	"set"	"nat"	"age"	"weight"	"height"	"Attractiveness"	"Sextypicality"	"Asymmetry"	"Distinctiveness"	"SATRA"
"50"	"F099_DSC0600"	"F"	"CMR12"	"CMR"	20	58	152	5.104166667	-0.838264216110589	0.149085344084483	0.0995782770253623	2.3888845214471
"24"	"ID5_1_M_CMR13_DSC_0036"	"F"	"CMR13"	"CMR"	22	74.1	157	3.764705882	-0.712688747262518	0.147184884544591	0.062825381263708	0.590083630348396
"33"	"ID6_1_F_CMR13_DSC_0040"	"F"	"CMR13"	"CMR"	23	59.4	160	3.411764706	-0.52105303029272	0.142498394232786	0.0393181284193431	0.116108648024278
"38"	"ID7_2_F_CMR13_DSC_0049"	"F"	"CMR13"	"CMR"	23	74.8	160	3.441176471	-0.408756800589559	0.147187722264982	0.0373272020597462	0.155606563665597
"44"	"ID8_1_F_CMR13_DSC_0044"	"F"	"CMR13"	"CMR"	23	55.7	162	3.852941176	-0.0583719545359688	0.143609188643826	0.0541405887907885	0.708577375929426
"0"	"ID17_2_F_CMR13_DSC_0002"	"F"	"CMR13"	"CMR"	18	60.6	158.5	2.411764706	-0.280462357496209	0.140913188908636	0.0511541258400225	-1.2268204703513
"1"	"ID18_1_F_CMR13_"	"F"	"CMR13"	"CMR"	21	86.3	162	2.264705882	0.115145583603515	0.141801521279433	0.0436997874635139	-1.42431004721497
"2"	"ID19_2_F_CMR13_DSC_0010"	"F"	"CMR13"	"CMR"	22	52.5	159	3.382352941	-0.972377550469624	0.14602642981244	0.0569721660540074	0.0766107323829581
"3"	"ID20_1_F_CMR13_DSC_0013"	"F"	"CMR13"	"CMR"	22	63	161	4.424242424	-0.0773206320653815	0.143356338110987	0.0601343914300835	1.47579445723293
"4"	"ID25_1_F_CMR13_DSC_0034"	"F"	"CMR13"	"CMR"	23	65.5	169.5	1.970588235	-0.431788881903193	0.144872677843809	0.0529198169707084	-1.81928919959938
"5"	"ID26_1_F_CMR13_DSC_0041"	"F"	"CMR13"	"CMR"	18	56.1	163.5	3.058823529	-0.734153328641794	0.141741346613797	0.080955959983708	-0.35786633564277
"6"	"ID27_2_F_CMR13_DSC_0050"	"F"	"CMR13"	"CMR"	25	57.2	151.5	2.558823529	-0.279759635349214	0.143917114094665	0.0610483510647894	-1.02933089483056
"7"	"ID28_2_F_CMR13_DSC_0046"	"F"	"CMR13"	"CMR"	21	50.3	149.5	3.823529412	0.420817727588109	0.147651198309988	0.047788953506898	0.669079461631036
"8"	"ID33_1_F_CMR13_DSC_0187"	"F"	"CMR13"	"CMR"	21	54	158.5	3.735294118	-0.288142123994889	0.146617446168096	0.049239698830032	0.550585716050006
"9"	"ID34_2_F_CMR13_DSC_0180"	"F"	"CMR13"	"CMR"	21	49.7	163.5	2.294117647	-0.651288096128757	0.14348337036861	0.0405414644682978	-1.38481213157365
"10"	"ID35_1_F_CMR13_DSC_0183"	"F"	"CMR13"	"CMR"	18	69.9	154.5	2.970588235	-0.183298921296911	0.155782458274784	0.0790511208072212	-0.4763600812238
"11"	"ID36_2_F_CMR13_DSC_0176"	"F"	"CMR13"	"CMR"	20	50	161	4.264705882	0.124064374737696	0.145054912231933	0.072907004520606	1.26154818953618
"12"	"ID37_1_F_CMR13_DSC_0171"	"F"	"CMR13"	"CMR"	22	49.6	160.5	1.764705882	-0.728545185355721	0.151905895725462	0.085995770987818	-2.09577460640276
"13"	"ID38_1_F_CMR13_DSC_0158"	"F"	"CMR13"	"CMR"	22	79.6	163	4.147058824	0.14298018103204	0.147551513320555	0.0586443664223616	1.10355652965676
"14"	"ID39_1_F_CMR13_DSC_0162"	"F"	"CMR13"	"CMR"	22	68.7	169.5	3.470588235	0.0445702983771171	0.143508663751506	0.0484391996368231	0.195104477963988
