Rater	F_22_ATTR	F_23_ATTR	F_29_ATTR	F_33_ATTR	F_37_ATTR	F_39_ATTR	F_43_ATTR	F_46_ATTR	F_47_ATTR	F_53_ATTR	F_61_ATTR	F_62_ATTR	F_65_ATTR	F_66_ATTR	F_69_ATTR	F_73_ATTR	F_74_ATTR	F_76_ATTR	F_91_ATTR	F_92_ATTR	F_95_ATTR	F_98_ATTR	F_99_ATTR	F_102_ATTR	F_104_ATTR	F_105_ATTR	F_110_ATTR	F_111_ATTR	F_115_ATTR	F_116_ATTR	F_120_ATTR	F_131_ATTR	F_132_ATTR	F_135_ATTR	F_137_ATTR	F_138_ATTR	F_139_ATTR	F_151_ATTR	F_152_ATTR	F_153_ATTR	F_154_ATTR	F_155_ATTR	F_156_ATTR	F_158_ATTR	F_164_ATTR	F_170_ATTR	F_176_ATTR	F_178_ATTR	F_183_ATTR	F_185_ATTR	F_186_ATTR	F_188_ATTR	F_190_ATTR	F_196_ATTR	F_197_ATTR	F_199_ATTR	F_200_ATTR	F_205_ATTR	F_206_ATTR	F_213_ATTR	F_219_ATTR	F_227_ATTR	F_232_ATTR	F_238_ATTR	F_239_ATTR	F_256_ATTR	F_258_ATTR	F_275_ATTR	F_282_ATTR	F_286_ATTR	F_299_ATTR	F_302_ATTR	F_303_ATTR	F_304_ATTR	F_305_ATTR	F_307_ATTR	F_309_ATTR	F_310_ATTR	F_323_ATTR	F_330_ATTR	F_334_ATTR	F_340_ATTR	F_341_ATTR	F_345_ATTR	F_352_ATTR	F_355_ATTR	F_363_ATTR	F_365_ATTR	F_366_ATTR	F_369_ATTR	F_374_ATTR	F_377_ATTR	F_378_ATTR	F_380_ATTR	F_382_ATTR	F_386_ATTR	F_393_ATTR	F_395_ATTR	F_398_ATTR	F_404_ATTR	F_405_ATTR	F_419_ATTR	F_424_ATTR	F_427_ATTR	F_429_ATTR	F_434_ATTR	F_441_ATTR	F_444_ATTR	F_447_ATTR	F_452_ATTR	F_453_ATTR	F_454_ATTR	F_456_ATTR	F_457_ATTR	F_460_ATTR	F_465_ATTR	F_468_ATTR	F_470_ATTR	F_473_ATTR	F_474_ATTR	F_475_ATTR	F_484_ATTR	F_486_ATTR	F_490_ATTR	F_492_ATTR	F_493_ATTR	F_497_ATTR	F_502_ATTR	F_503_ATTR	F_505_ATTR	F_513_ATTR	F_514_ATTR	F_521_ATTR	F_523_ATTR	F_526_ATTR	F_527_ATTR	F_532_ATTR	F_533_ATTR	F_534_ATTR	F_535_ATTR	F_536_ATTR	F_537_ATTR	F_539_ATTR	F_542_ATTR
TUR596	2					4																									3															5	2																2																						6												3																																															
TUR597											2									6																																																																																													2						1															2										
TUR598													1										4											1																						3																				6																																																		1							5											
TUR599		1																																																			1																																													1	1						1							1										3									1													
TUR600															1																							4			4							2																																														1																		1			1			1																										
TUR601																				5											2		4			5																																									5																																													2						3																
TUR602																	2													2													1				2																								2																			3																																					1			1														
TUR603																																					6								4													2																																	5																	3			3										2																					6		
TUR604					4				3																																											4																																		3	6																	6															1																								4	
TUR605																																																																		5														3		3														3										4							3			3				4																								
TUR606																												1																													1																	6		1							4																																		6															1					7							
TUR607	3											3				6																								5									5											13			4																																																																													7				
TUR608																																																																	3							3													9							1													1		1																											1										
TUR609																			2																																								1	3															3															3	3																	3																											4									
TUR610																																										2																			5									2											3			3																3										5																3																		
TUR611																		1											1																						1																3		1										4																																																						1											
TUR612				4										5																																																								3																				4																																3										3												
TUR613										3	4																																							4														3											6																																																2	7					2															
TUR614	3					1				1				5										3																				1																			1					1																																																																												
TUR615																			1								1																														1										1																			1												1									1														1																							
TUR616																																																																1		6			1			2																																									2																								6				1			
TUR617																																																							7										2								1										2				6																	6																																			3				2	
TUR618			1									2												2								2																								2																								1	2																																																							2								
TUR619		1															1																																																																										3																		2											1					1		1																	6
TUR620																3									4																																																	4																				2		4			4			2														3																												
TUR621															2						1		1																							1																																												3																																1										2			2									
TUR622							4																			6			4					3					3		6	3			5																																																																																																			
TUR623																																						5											2																														4										2																2			3				2																												3				
TUR624				3																		5														5															2																											2																							3																						1																					
TUR625				5																																						1																					1															4		4																																												5		1																		
TUR626																																																									1			5					1																				1				3																											2																2				1								
TUR627							3							6																									2									6																												5															4														3			4																																				
TUR628																																											2																																																																								3		5			1		1							3															
TUR629	2	2																							4						2					5																	3																																																																																	2				3						
TUR630																					4											4																																											5															4								4			3	4									3																																	
TUR631			2																															3																																																					5								2	2										4	2																																					
TUR632									3				2						2				3										5													4									6																																																																																									
TUR633									1									1															2																													2																																			1																	2																														
TUR634								4									1										2			5					1																			4																																								3																																														5				
TUR635											5															1												4																							5																						5																													1											1								2													
TUR636												3																	3																														3																																																		5												3							3		4							5							
TUR637															4																														5																					7		4																								5																					2					2															4											
TUR638										2																											6							1							1							1																								2																												4										2																								
TUR639																		1		3																																4																					1																																																	1				1											6							
TUR640																							1																																2	3				13	1																																								1																	1														1												
TUR641						4										2								6														6							6			1																																3																										5																																						
TUR642																														4			5		3																															5																		3													4																		4														2															
TUR643				6															3																								3							4																		3																																											5																														4			
TUR644																					4	4																																								3			7													4													5																										7																											
TUR645			1														1																																														1								2														1																		2				1																				1																	
TUR646															2																			2																									6																																	4							3									4	4																															6				
TUR647									5																	4																																																															1						1									4												4					2																							6
TUR648																		1														1																																			1								3													4																	2														1									1																
TUR649																5					1														2																																										6																		1																		1													1													6					
TUR650																													2					2																																																																								3		3																							3						2							
TUR651					9																			4																							1									1																				4																1						2	1																																													
TUR652				2					1																																																								4																			3													1																			2								2									1											
TUR653																																											1																														1							3																2				1					1		1																							2														
TUR654								9			4																															2																								5																						6															2																																									
TUR655																	1					7																																				1		5	1													7												4																							2																																			
TUR656																														2										1													6																			4																																							1																														2		3	
TUR657		2																																					2									4																						2								7																																5										2							2																	
TUR658							1						1																																				1			2																							1								1																																																	1										3		
TUR659																								4																	3																																																										1																																													
TUR660																																																																						1											4				6										1			5																									1			1																		
TUR661																																			2											6																					1							4			5	6				1																																																														
TUR662					1																							2																																															2																2					1												2																																				
TUR663															3			2		2														1				7																																																			4																																																		5		2			
TUR664																																										3	6																							7													7							5	7							2						2																																												
TUR665														7		1																												1								3																4																													7												5				4																															
TUR666																										2																																				3										4																																			2								3					1				6							3													
TUR667			3	6									1																																											6							2										2																			5													3																																							
TUR668	2																																																					3						7																7																																																			1		4															
TUR669																									2		2									3																													3																																															3																						2						3			3	
TUR670																																																							5																													5																		1				4																1			1											6		1						
TUR671											4										4																																				3																							5																							4	6													6											3																
TUR672																							1							3														1																																																					1										1			1														4										1										
TUR673																			4																				2				1											6										2				4																		1																																					1																					
TUR674					1																					2																1																				1				7																										3																																			1														1			
TUR675		1																																		2																			4																												4																	2						3												3				3																						
TUR676									2																													5							3				1																										4												4																																1																									
TUR677												2				3																2					4			3																					3																													4																																																						
TUR678			1							1																																					2																																					2										5		1																																		1														
TUR679						1									3																																			1																				1																							3																																												5		5	3				
TUR680																																									4											5																																							5							4											3					6							4																					6		
TUR681	3																								4				3																	4							4																		4			7																																																																						
TUR682							4																											1																																						4										4																					5																													3											6	5
TUR683																												5																															2				4										1				5																											4							4															1																		
TUR684							4						3																									4						3																																																																									6															4											6	
TUR685															3										3				2										2																																		1		3								3																																																											2		
TUR686																												2			5															5	2	3																			2																																							6															1																							
TUR687		1																1				1																																		2	1																						4		2																																																											2				
TUR688																																				5																																	1		4																4											3		3																1						4																						
TUR689					1					1	1												1									1			2																																																													1																																										1						
TUR690																			1														3												5																			1	2	4																										2																												1																								
TUR691				3									1							1				3																																		1																		3																																				1																							1									
TUR692																																											2												4																																	6																			1		3	4									3														5											
TUR693																					2			4										1																												1						2																											1										2																																3							
TUR694																																																					1																									3													4																																1																					3
TUR695																														2										2									3																																																3																											5										2	4									
TUR696																																									2																				1													4		1																										1										1		1																									4					
TUR697																	1		1												2																												1													2																					2										4																																						1			
TUR698																					2																				3													4									2						1																												3																													1																		
TUR699																								5																																					5														5	4				1			6																															6	1																													
TUR700									5																	4																																										4																																																	6					3							2										6					
TUR701																														7												5	7															1				3																																											3																																	3				7		
TUR702																																			2																						1														2																																															1			1														5						1			
TUR703																											2																		1											2														1								2																																										1								1						2										
TUR704														6						5												2															3																	3																					4													3								4																																						
TUR705																												3																									3																				1													2			1																																																						3	3
TUR706															1																																	4																			1												7		1																										1									6																												
TUR707													3										4											3																					4																											4																														4																			4													
TUR708	1		1				1	1																																				1															1	2																																																																			1																	
TUR709		2									3					2																																				5																																																			7										2																			2												
TUR710																																																6								5	4									6			3					3																																	3																										5											
TUR711						1											3																3											1																												2																												1														1																1														
TUR712		1	1											3																										1																																					4						3				3																														7																											
TUR713													1																																																																																2												2							1									6													1					6					
TUR714	1											1									1																																																																																																			1			1		1				1															
TUR715																							3							5					3																												4																6																		6																																														3	
TUR716																																				6														2											3																	4																								2													2			1																						3				
TUR717									3																													1									1																	1									1																																					4			1						1																									
TUR718									5																	4																	4					3			5																																																									6									7																											
TUR719																1				2																			1																				1								1			1											1																																																															
TUR720															3							4		3	3																																																																																											2										1																		5
TUR721																										1			2																	1																2																												4				1					2							3																																						
TUR722					1			4			5																																																																													6	6																																	3																						
TUR723							4																																													4			6					2																				4																4																												6											4									
TUR724						3									1																																							6																																										5																							2	1						1												4						
TUR725																														4																																		2	6														6						3														1		3																																											
TUR726																																4																																									4																																												4	4													4					4				4				
TUR727													2									6														6																							2											2													3																			3												5																														
TUR728																																									7	1			3																										7																																		6											7																												
TUR729								6																		7																							7														7																																														7		7										7																							7
TUR730	2	2																																																																											3											1																																								4					2	1										
TUR731																									3										1																1									4	2																			2																							2																																									
TUR732							9																1										5																													1				6																									2						1							2																																								
TUR733																		2											3																		2			3																															3												2	4																																																5		
TUR734									3																															1				1																																														6																				2													1							3														
TUR735																			4															3																																						4						5						4															4																																													
TUR736																																													5					3																					1												3			2																2							5																						3													
TUR737														5								6																																										1																													1				2																				7																				6							
TUR738													1																																															4														4			5																													6																				1								3									4	
TUR739										2										2																																			5																																																																			2		2											2								2	
TUR740																					3																												3									1												1						4																3											5		4																																							
TUR741																	1																																			1																																										1										2								1		2										1								4												
TUR742																										2													3			3																																				5				5																																														2	3															
TUR743					9					2						2																																							3						2																																		2																2																															3		
TUR744	1	1																																																	1																						1											4				7										3																																5														
TUR745																				5																			2											6																				1																																																																3	5						2			
TUR746							3					2							2																			2																																																											3												2	5																																		
TUR747					4													1																	2					4								6																											6																															5																							3															
TUR748															1									5		1										7																																																						6									4																										1													2						
TUR749										2		3																																																				4																							4														4																																		5									7
TUR750									4																5												5								4	3																											1																												2																																4											
TUR751						9																					3																																					2													5					4														5															3					5																												
TUR752		2															3				1																																																														4	2																															2							2																				6		
TUR753																																																				2										2						4																																2			3																																									3
TUR754																1																																												3																																						1																				1					1				1													1				
TUR755														6																5																													2				5																	2																																														1													6					
TUR756																							1										3																																																														1		3	5		1		2																									1																	
TUR757																						6																													4						4								6													5													5																														5																						5	
TUR758		1																			1																1															1																									2											2			1																																												1									
TUR759														2																								1	1				1																										1																					2																											4																											2
TUR760																				1				2																					3			1	1						7																								6				4																																																													
TUR761																									5																															2																			3	2																									2														2						3																					6		
TUR762																																															3												1															7																																	1											2					1	6									3											
TUR763					1																	1					1			1																												1								2																1																																																								1						
TUR764							1	1										1																		2				1																																																																	1																																		1					
TUR765			1									1																														1																																							1				5																								1							2			1																									
TUR766											4					4																																															4	4																							4									4																																	4	3														
TUR767				2											2				2										3												2																													2																																								2																																		
TUR768											4									4																																																																				4																						4		4						4							4													4						
TUR769																																																												4		1										1												4																												1	1																			2												
TUR770					9									4											5																														6																												4		9																																					3																						
TUR771		1							5	1														5																																																1								1																													1																						1													
TUR772															1			1																																						5								5																						3								1				3																																														
TUR773																																																3																							2							3	4								3										2					2																												2														
TUR774	1																																2																											5	2							1																									1																																		1		1															
TUR775																																																										2																			4					4														5											1																																					
TUR776																	3																			4											2						3																												3									4																																				1													6					
TUR777								9													1	5																	1		4																																																																								1																															2
TUR778																			1							1								1				7																																																														2																			4													1								4				
TUR779				4																									4								5						3		4																																														4																							3																				2										
TUR780						1																																																			1					1					2		1																							2			1																																														2			
TUR781																																			1					3						4													1						4																																		1							3																																						
TUR782																											1								1							1																																										4																				4																	2												1										2	
TUR783																								7																						2									7																																																												1			3													2		6								1			
TUR784			1																			6																							1																									1		1								1								4																																												1												
TUR785													3				4										4					5								3																									3		4										5																																																																			
TUR786																																									2																			2	2																						2									2																												2										2														2
TUR787																																	4																															4				3													2				4						5									2																3																												
TUR788												4																																							4																																																															5										5															4					
TUR789											1																																																				1													2										2				6				3			6														4																																	
TUR790																				4																						3					1						3																																				1																				2																1												3							
TUR791		1								1				3									1																										2										1																																											1		3																																								
TUR792				4											4																5																									3										5												3				4																														4																																
TUR793						1		6								3		1																																																								6																																																					2									4							6	
TUR794	3				3																							5															3																												5				6																																																																					
TUR795											5	2																						1							2																																																																			2		5																																		
TUR796									1																																																			1							1																												1									6			1												1																					1				
TUR797							3							2										3																	2		3																						4																	3																				2																																										
TUR798								3												4												4		1																	4				5																						4																																		3																																	
TUR799		1								2			1					1																																				3																																			2																																				2																2			
TUR800																2						5																															5						1		3		4					6																																																																												
TUR801																																						4	1					1																				3		5																																																	1																								3					
TUR802				3																								2																																														1												1																											1	2														2			2													
TUR803												1							3																									3														2																																																			6				1																															
TUR804																												4	3																																						2														5		5								7																	3								3																												
TUR805																					1		1															3																	3		1																																																																													2						2				
TUR806															1										4														1		5																														2																												1																																												2	
TUR807																				2																				1									4									1														2																		5														4											2																													
TUR808																																	2																			1																					1												9																		4																						1												4				3			
TUR809													1											6											4																2												1																	1																		3												1																																		
TUR810	4									4																																	4										4								4																							4								4																																																				
TUR811																																																												4									2						3							2																		2	2																		2																									
TUR812												1										3					2				2						3								1																																																			2																		2																														
TUR813			1																																											1																				4				2																2			1																																																							
TUR814																														4						4																																2						6		1																																	1																			1																4
TUR815		1		2																																							1																														1	6											9							3																																																	2			
TUR816				6																																						2										4										3													5																				2					3																5																												
TUR817																					4								1																															13				1								2																			5														2																																						6	
TUR818	1										4									3			1																								1																																			3					6																						1																																			
TUR819												4				4		4																										4							5						4													4																																													5																													
TUR820																	1													4							2																								3																																														1						1																						1									
TUR821									3										2																														2																																					1																										2											2											1						2				
TUR822													1																						1						5							2																																																																								1							1									6								2
TUR823						3																																4																																	5									3													6																					4								5		4																				
TUR824															2																															3																				7													5																		4																						2										2															
TUR825			1																														3																	1									1																																					2																					5																2											
TUR826										2															6									2																																															6																	5	2					5																																								
TUR827																																																					3														3																							4																4					3																			3									4					
TUR828																																							1						2																				4			2								1																		1																															1												5							
TUR829								1											1									2				1																										1																																													3							3																																		
TUR830														2																																								3	3														1														1																																						1											2												
TUR831																																										1										1							1	4																		2																	1																					2																							4					
TUR832																																													5						6				6			3																																														6						6																														6			4	
TUR833							6																																3					3																				4							5		3											4																								5																																				
TUR834					4							1																									6																				1					3				7																					5														3																																											
TUR835																				7									7			7																													2									6				7			6													7																																																						
TUR836																						3														4							1																																3					1		1																																															3													3		
TUR837				4							4													4																	4																						2																																																			4							1																4							
TUR838										1																																						1								3												2																																																	6														1													2
TUR839																1	1										1	4																		1																																																						5									2																	1																		
TUR840		1																																																																													2														1	1					1						1																						1							1										
TUR841																										4							7																																																								5																	6							3					4																										
TUR842			3											5																				3													3																																																																				5					3			3	6																				
TUR843																						7									1				1																															7										1																		1																																														2	1			
TUR844								5																			2											7																																																													4					5			1			5																																		
TUR845													4							1																										4																													7						1															6				5																																					2							
TUR846																																					5																																2	2				6						2																																																														7	6	
TUR847																			1																					1							2																																								2					1										2							1										1																									
TUR848	2																																	1																							1																									4											4																		4										5												5											
TUR849												1									2					3																																																														6									3																	3				1										1																
TUR850					9		3																	3																																																					2														4														3								2				6																											
TUR851									5																							5																																									1													3																	4			4		5																6																				
TUR852										2	3					3																					4																2	4						3																																																			2																																	
TUR853																																																	4	5	2													2																					5																2																																											
TUR854				5			5														2																																				2												1																6						6						4																																															
TUR855			2																															2																						3																		4												2								2				2								2																																						
TUR856															1																									1																																				2													2																																				1						1				3									
TUR857		2																																																											2						2								3																														2																																		4					
TUR858																										2			1																			3	3															1																1																							3																		2																							
TUR859																												3																								3																5																																		3						2																						3			6											
TUR860													2					1																				4															1									1	3								4																																																																									4
TUR861																				2		7																								6													1											1													3													5																1																																
TUR862									1								2																						1															2																		1																												2							1																			1																		
TUR863					9							2																		4																																																				1		2																																						4							3							2								
TUR864						3																			3																5				5																																																						3																	6											2														2			
TUR865											1																	1																								1																																													2																								1		1										1											2
TUR866																1			1													3																																																							6																																					5													6	4				4		
TUR867																																																																																										6						5		3															1		1																				1						2			
TUR868																										6																					7													7														3	4													5																																																								
TUR869		2					9			2																																							2													3																																								2																		2																	3							
TUR870													1								2		2																																																									2																																																										1				4	2	
TUR871						1									5																														4	6																									4	1																			6																																																					
TUR872																											3					3		3																															3														3																3																																			3						3								
TUR873																																					2																																																								1																	1	1						7	1					1																					
TUR874			1																																1			6												1						5																																				1																						1													1																	
TUR875					1																				4															3																								1																																																																																
TUR876																1		2																		5																							2																		3																																													2												2										
TUR877																				5																							3												7						2												1								1																								1																																			1				
TUR878																						5																														3											1																							1													3										2	3																														2				
